obama	fruit	year	age	male	neob	treat_year
1.0	1.0	2015.0	8.0	0.0	0.0	5.0
1.0	1.0	2015.0	15.0	0.0	0.0	5.0
1.0	0.0	2015.0	13.0	0.0	0.0	5.0
1.0	1.0	2015.0	7.0	0.0	0.0	5.0
1.0	0.0	2015.0	5.0	0.0	0.0	5.0
1.0	1.0	2015.0	10.0	1.0	0.0	5.0
1.0	0.0	2015.0	8.0	1.0	0.0	5.0
1.0	0.0	2015.0	8.0	1.0	0.0	5.0
1.0	1.0	2015.0	10.0	0.0	0.0	5.0
1.0	0.0	2015.0	3.0	1.0	0.0	5.0
1.0	0.0	2015.0	9.0	1.0	0.0	5.0
1.0	0.0	2015.0	6.0	0.0	0.0	5.0
1.0	1.0	2015.0	6.0	0.0	0.0	5.0
1.0	1.0	2015.0	10.0	0.0	0.0	5.0
1.0	0.0	2015.0	7.0	0.0	0.0	5.0
1.0	1.0	2015.0	10.0	1.0	0.0	5.0
1.0	1.0	2015.0	8.0	0.0	0.0	5.0
1.0	0.0	2015.0	5.0	0.0	0.0	5.0
1.0	0.0	2015.0	5.0	1.0	0.0	5.0
1.0	0.0	2015.0	7.0	1.0	0.0	5.0
1.0	1.0	2015.0	6.0	1.0	0.0	5.0
1.0	0.0	2015.0	11.0	1.0	0.0	5.0
1.0	0.0	2015.0	13.0	0.0	0.0	5.0
1.0	0.0	2015.0	12.0	0.0	0.0	5.0
1.0	0.0	2015.0	10.0	1.0	0.0	5.0
1.0	1.0	2015.0	7.0	1.0	0.0	5.0
1.0	0.0	2015.0	5.0	0.0	0.0	5.0
1.0	1.0	2015.0	15.0	0.0	0.0	5.0
1.0	0.0	2015.0	7.0	0.0	0.0	5.0
1.0	0.0	2015.0	13.0	0.0	0.0	5.0
1.0	0.0	2015.0	9.0	0.0	0.0	5.0
1.0	0.0	2015.0	8.0	1.0	0.0	5.0
1.0	0.0	2015.0	8.0	0.0	0.0	5.0
1.0	0.0	2015.0	12.0	1.0	0.0	5.0
1.0	0.0	2015.0	7.0	0.0	0.0	5.0
1.0	1.0	2015.0	9.0	1.0	0.0	5.0
1.0	0.0	2015.0	11.0	0.0	0.0	5.0
1.0	1.0	2015.0	7.0	0.0	0.0	5.0
1.0	0.0	2015.0	10.0	0.0	0.0	5.0
1.0	0.0	2015.0	5.0	1.0	0.0	5.0
1.0	0.0	2015.0	11.0	1.0	0.0	5.0
1.0	0.0	2015.0	8.0	0.0	0.0	5.0
1.0	0.0	2015.0	11.0	1.0	0.0	5.0
1.0	0.0	2015.0	7.0	0.0	0.0	5.0
1.0	0.0	2015.0	7.0	1.0	0.0	5.0
1.0	1.0	2015.0	12.0	1.0	0.0	5.0
1.0	0.0	2015.0	7.0	1.0	0.0	5.0
1.0	1.0	2015.0	7.0	0.0	0.0	5.0
1.0	1.0	2015.0	7.0	1.0	0.0	5.0
1.0	1.0	2015.0	9.0	0.0	0.0	5.0
1.0	1.0	2015.0	11.0	0.0	0.0	5.0
1.0	1.0	2015.0	4.0	0.0	0.0	5.0
1.0	0.0	2015.0	5.0	1.0	0.0	5.0
1.0	0.0	2015.0	5.0	0.0	0.0	5.0
1.0	0.0	2015.0	11.0	1.0	0.0	5.0
1.0	0.0	2015.0	12.0	1.0	0.0	5.0
1.0	0.0	2015.0	8.0	0.0	0.0	5.0
1.0	1.0	2015.0	10.0	0.0	0.0	5.0
1.0	0.0	2015.0	11.0	1.0	0.0	5.0
1.0	0.0	2015.0	6.0	1.0	0.0	5.0
1.0	1.0	2015.0	11.0	0.0	0.0	5.0
1.0	0.0	2015.0	7.0	1.0	0.0	5.0
1.0	1.0	2015.0	10.0	1.0	0.0	5.0
1.0	0.0	2015.0	4.0	0.0	0.0	5.0
1.0	1.0	2015.0	10.0	1.0	0.0	5.0
1.0	1.0	2015.0	10.0	1.0	0.0	5.0
1.0	0.0	2015.0	12.0	0.0	0.0	5.0
1.0	1.0	2015.0	8.0	0.0	0.0	5.0
1.0	0.0	2015.0	9.0	1.0	0.0	5.0
1.0	0.0	2015.0	5.0	0.0	0.0	5.0
1.0	1.0	2015.0	11.0	0.0	0.0	5.0
1.0	0.0	2015.0	12.0	1.0	0.0	5.0
1.0	0.0	2015.0	16.0	1.0	0.0	5.0
1.0	0.0	2015.0	7.0	0.0	0.0	5.0
1.0	0.0	2015.0	13.0	0.0	0.0	5.0
1.0	1.0	2015.0	4.0	0.0	0.0	5.0
1.0	0.0	2015.0	11.0	1.0	0.0	5.0
1.0	1.0	2015.0	13.0	0.0	0.0	5.0
1.0	0.0	2015.0	16.0	0.0	0.0	5.0
1.0	1.0	2015.0	17.0	0.0	0.0	5.0
1.0	0.0	2015.0	8.0	1.0	0.0	5.0
1.0	0.0	2015.0	6.0	1.0	0.0	5.0
1.0	0.0	2015.0	5.0	1.0	0.0	5.0
1.0	0.0	2015.0	10.0	0.0	0.0	5.0
1.0	0.0	2015.0	11.0	0.0	0.0	5.0
1.0	0.0	2015.0	14.0	0.0	0.0	5.0
1.0	0.0	2015.0	8.0	1.0	0.0	5.0
1.0	0.0	2015.0	13.0	1.0	0.0	5.0
1.0	1.0	2015.0	6.0	1.0	0.0	5.0
1.0	0.0	2015.0	13.0	0.0	0.0	5.0
1.0	1.0	2015.0	12.0	0.0	0.0	5.0
1.0	1.0	2015.0	4.0	0.0	0.0	5.0
1.0	0.0	2015.0	8.0	1.0	0.0	5.0
1.0	1.0	2015.0	7.0	0.0	0.0	5.0
1.0	0.0	2015.0	12.0	1.0	0.0	5.0
0.0	0.0	2012.0	4.0	0.0	1.0	2.0
0.0	0.0	2012.0	10.0	1.0	1.0	2.0
0.0	0.0	2012.0	8.0	1.0	1.0	2.0
0.0	1.0	2012.0	8.0	1.0	1.0	2.0
0.0	0.0	2012.0	7.0	0.0	1.0	2.0
0.0	0.0	2012.0	7.0	0.0	1.0	2.0
0.0	0.0	2012.0	7.0	0.0	1.0	2.0
0.0	0.0	2012.0	9.0	0.0	1.0	2.0
0.0	0.0	2012.0	8.0	0.0	1.0	2.0
0.0	1.0	2012.0	9.0	0.0	1.0	2.0
0.0	0.0	2012.0	7.0	0.0	1.0	2.0
0.0	0.0	2012.0	10.0	0.0	1.0	2.0
0.0	1.0	2012.0	8.0	1.0	1.0	2.0
0.0	0.0	2012.0	8.0	1.0	1.0	2.0
0.0	0.0	2012.0	9.0	1.0	1.0	2.0
0.0	0.0	2012.0	9.0	1.0	1.0	2.0
0.0	0.0	2012.0	7.0	0.0	1.0	2.0
0.0	0.0	2012.0	12.0	1.0	1.0	2.0
0.0	0.0	2012.0	5.0	0.0	1.0	2.0
0.0	0.0	2012.0	11.0	1.0	1.0	2.0
0.0	0.0	2012.0	7.0	1.0	1.0	2.0
0.0	0.0	2012.0	8.0	0.0	1.0	2.0
0.0	0.0	2012.0	13.0	1.0	1.0	2.0
0.0	0.0	2012.0	8.0	0.0	1.0	2.0
0.0	1.0	2012.0	12.0	0.0	1.0	2.0
0.0	1.0	2012.0	11.0	1.0	1.0	2.0
0.0	0.0	2012.0	9.0	1.0	1.0	2.0
0.0	0.0	2012.0	7.0	1.0	1.0	2.0
0.0	0.0	2012.0	9.0	0.0	1.0	2.0
0.0	0.0	2012.0	10.0	1.0	1.0	2.0
0.0	0.0	2012.0	12.0	1.0	1.0	2.0
0.0	0.0	2012.0	6.0	1.0	1.0	2.0
0.0	1.0	2012.0	10.0	1.0	1.0	2.0
0.0	0.0	2012.0	10.0	1.0	1.0	2.0
0.0	0.0	2012.0	6.0	1.0	1.0	2.0
0.0	0.0	2012.0	5.0	0.0	1.0	2.0
0.0	1.0	2012.0	5.0	0.0	1.0	2.0
0.0	0.0	2012.0	12.0	0.0	1.0	2.0
0.0	0.0	2012.0	7.0	0.0	1.0	2.0
0.0	0.0	2012.0	9.0	1.0	1.0	2.0
0.0	0.0	2012.0	6.0	1.0	1.0	2.0
0.0	0.0	2012.0	8.0	1.0	1.0	2.0
0.0	0.0	2012.0	10.0	1.0	1.0	2.0
0.0	0.0	2012.0	5.0	0.0	1.0	2.0
0.0	1.0	2012.0	8.0	0.0	1.0	2.0
0.0	0.0	2012.0	7.0	1.0	1.0	2.0
0.0	0.0	2012.0	5.0	1.0	1.0	2.0
0.0	0.0	2012.0	7.0	1.0	1.0	2.0
0.0	0.0	2012.0	7.0	0.0	1.0	2.0
0.0	0.0	2012.0	4.0	1.0	1.0	2.0
0.0	0.0	2012.0	14.0	0.0	1.0	2.0
0.0	0.0	2012.0	7.0	0.0	1.0	2.0
0.0	1.0	2012.0	7.0	1.0	1.0	2.0
0.0	1.0	2012.0	6.0	0.0	1.0	2.0
0.0	1.0	2012.0	12.0	0.0	1.0	2.0
0.0	0.0	2012.0	8.0	0.0	1.0	2.0
0.0	0.0	2012.0	8.0	0.0	1.0	2.0
0.0	0.0	2012.0	8.0	0.0	1.0	2.0
0.0	1.0	2012.0	5.0	1.0	1.0	2.0
0.0	1.0	2012.0	6.0	1.0	1.0	2.0
0.0	0.0	2012.0	8.0	1.0	1.0	2.0
0.0	0.0	2012.0	5.0	1.0	1.0	2.0
0.0	0.0	2012.0	9.0	1.0	1.0	2.0
0.0	0.0	2012.0	11.0	1.0	1.0	2.0
0.0	1.0	2012.0	8.0	1.0	1.0	2.0
0.0	0.0	2012.0	9.0	1.0	1.0	2.0
0.0	0.0	2012.0	13.0	0.0	1.0	2.0
0.0	0.0	2012.0	13.0	0.0	1.0	2.0
0.0	0.0	2012.0	6.0	0.0	1.0	2.0
1.0	0.0	2012.0	4.0	1.0	0.0	1.0
1.0	0.0	2012.0	3.0	0.0	0.0	1.0
1.0	0.0	2012.0	4.0	0.0	0.0	1.0
1.0	0.0	2012.0	12.0	0.0	0.0	1.0
1.0	0.0	2012.0	3.0	1.0	0.0	1.0
1.0	0.0	2012.0	10.0	1.0	0.0	1.0
1.0	1.0	2012.0	7.0	1.0	0.0	1.0
1.0	0.0	2012.0	6.0	1.0	0.0	1.0
1.0	0.0	2012.0	5.0	1.0	0.0	1.0
1.0	0.0	2012.0	4.0	1.0	0.0	1.0
1.0	0.0	2012.0	4.0	1.0	0.0	1.0
1.0	0.0	2012.0	4.0	1.0	0.0	1.0
1.0	0.0	2012.0	7.0	0.0	0.0	1.0
1.0	0.0	2012.0	11.0	1.0	0.0	1.0
1.0	1.0	2012.0	11.0	0.0	0.0	1.0
1.0	0.0	2012.0	5.0	1.0	0.0	1.0
1.0	1.0	2012.0	5.0	0.0	0.0	1.0
1.0	1.0	2012.0	9.0	1.0	0.0	1.0
1.0	0.0	2012.0	11.0	0.0	0.0	1.0
1.0	1.0	2012.0	9.0	0.0	0.0	1.0
1.0	1.0	2012.0	9.0	1.0	0.0	1.0
1.0	0.0	2012.0	8.0	0.0	0.0	1.0
1.0	0.0	2012.0	7.0	1.0	0.0	1.0
1.0	0.0	2012.0	12.0	1.0	0.0	1.0
1.0	1.0	2012.0	13.0	1.0	0.0	1.0
1.0	0.0	2012.0	8.0	0.0	0.0	1.0
1.0	1.0	2012.0	8.0	0.0	0.0	1.0
1.0	0.0	2012.0	8.0	1.0	0.0	1.0
1.0	0.0	2012.0	5.0	0.0	0.0	1.0
1.0	1.0	2012.0	10.0	1.0	0.0	1.0
1.0	1.0	2012.0	10.0	1.0	0.0	1.0
1.0	0.0	2012.0	10.0	1.0	0.0	1.0
1.0	0.0	2012.0	4.0	1.0	0.0	1.0
1.0	1.0	2012.0	7.0	1.0	0.0	1.0
1.0	0.0	2012.0	8.0	1.0	0.0	1.0
1.0	0.0	2012.0	6.0	0.0	0.0	1.0
1.0	0.0	2012.0	3.0	1.0	0.0	1.0
1.0	0.0	2012.0	9.0	1.0	0.0	1.0
1.0	1.0	2012.0	7.0	0.0	0.0	1.0
1.0	1.0	2012.0	7.0	1.0	0.0	1.0
1.0	1.0	2012.0	10.0	1.0	0.0	1.0
1.0	0.0	2012.0	9.0	0.0	0.0	1.0
1.0	0.0	2012.0	6.0	1.0	0.0	1.0
1.0	0.0	2012.0	13.0	0.0	0.0	1.0
1.0	0.0	2012.0	9.0	1.0	0.0	1.0
1.0	0.0	2012.0	6.0	1.0	0.0	1.0
1.0	0.0	2012.0	7.0	1.0	0.0	1.0
1.0	0.0	2012.0	8.0	1.0	0.0	1.0
1.0	1.0	2012.0	4.0	1.0	0.0	1.0
1.0	0.0	2012.0	6.0	0.0	0.0	1.0
1.0	0.0	2012.0	8.0	0.0	0.0	1.0
1.0	0.0	2012.0	6.0	0.0	0.0	1.0
1.0	0.0	2012.0	5.0	1.0	0.0	1.0
1.0	0.0	2012.0	7.0	1.0	0.0	1.0
1.0	0.0	2012.0	7.0	1.0	0.0	1.0
1.0	1.0	2012.0	9.0	1.0	0.0	1.0
1.0	0.0	2012.0	12.0	1.0	0.0	1.0
1.0	0.0	2012.0	4.0	1.0	0.0	1.0
1.0	1.0	2012.0	6.0	0.0	0.0	1.0
1.0	0.0	2012.0	13.0	0.0	0.0	1.0
1.0	0.0	2012.0	7.0	1.0	0.0	1.0
1.0	1.0	2012.0	6.0	1.0	0.0	1.0
1.0	0.0	2012.0	5.0	0.0	0.0	1.0
1.0	0.0	2012.0	4.0	0.0	0.0	1.0
1.0	0.0	2012.0	4.0	0.0	0.0	1.0
1.0	0.0	2012.0	4.0	1.0	0.0	1.0
1.0	0.0	2012.0	3.0	1.0	0.0	1.0
1.0	0.0	2012.0	6.0	1.0	0.0	1.0
1.0	0.0	2012.0	8.0	1.0	0.0	1.0
1.0	0.0	2012.0	5.0	0.0	0.0	1.0
1.0	0.0	2012.0	5.0	1.0	0.0	1.0
1.0	0.0	2012.0	9.0	0.0	0.0	1.0
1.0	0.0	2012.0	10.0	0.0	0.0	1.0
1.0	1.0	2012.0	6.0	1.0	0.0	1.0
1.0	0.0	2012.0	5.0	0.0	0.0	1.0
1.0	0.0	2012.0	5.0	0.0	0.0	1.0
1.0	0.0	2012.0	11.0	0.0	0.0	1.0
1.0	0.0	2012.0	8.0	1.0	0.0	1.0
1.0	1.0	2012.0	10.0	1.0	0.0	1.0
1.0	0.0	2012.0	5.0	1.0	0.0	1.0
1.0	0.0	2012.0	4.0	1.0	0.0	1.0
1.0	0.0	2012.0	17.0	0.0	0.0	1.0
1.0	0.0	2012.0	17.0	0.0	0.0	1.0
1.0	0.0	2012.0	6.0	1.0	0.0	1.0
1.0		2012.0	12.0	0.0	0.0	1.0
1.0	0.0	2012.0	6.0	1.0	0.0	1.0
1.0	0.0	2012.0	9.0	0.0	0.0	1.0
1.0	0.0	2012.0	10.0	0.0	0.0	1.0
1.0	0.0	2012.0	7.0	0.0	0.0	1.0
1.0	0.0	2012.0	8.0	1.0	0.0	1.0
1.0	1.0	2012.0	8.0	1.0	0.0	1.0
1.0	1.0	2012.0	9.0	1.0	0.0	1.0
1.0	0.0	2012.0	5.0	1.0	0.0	1.0
1.0	0.0	2012.0	14.0	1.0	0.0	1.0
1.0	1.0	2012.0	8.0	0.0	0.0	1.0
1.0	1.0	2012.0	10.0	0.0	0.0	1.0
